playlist_id,playlist_title,item_count,series_name,category
PLcCTPbs8iOoGMbcH_GElOBOcqSX6cyPXO,Surgeon Simulator 《手術模擬器》,6,,遊戲實況
PLcCTPbs8iOoEx4fV3Gm4CwHaUBjpAKFF1,《波可龍迷宮》,6,,遊戲實況
PL889503D04A4C1E99,星海時光屋第一季-青銅救星,6,,電競賽事
PLcCTPbs8iOoG4hvvSGKMw5whwcVlaFc61,【Joeman百元販賣機】,5,百元販賣機,玩具/收藏
PLcCTPbs8iOoE2cc0Zbm0lt_kCLyRyTihF,Joeman【一起打槍去】,5,一起打槍去,挑戰/企劃
PLcCTPbs8iOoElFr0BqqyG7MOP5_bYPMEG,《秘境探險：黃金城秘寶》Uncharted: Drake's Fortune,5,,遊戲實況
PLcCTPbs8iOoH1g8LlzAboxOi-WLUq3ISF,【Joeman】我的貓咪小公主,4,,寵物
PLcCTPbs8iOoFcNkm5CZx6kNDSQjhX3b5Q,【Joeman的首爾之旅】,4,,旅遊/航空
PLcCTPbs8iOoGQBMGtW-hesQ65fKahbWQi,《量子裂痕》Quantum Break,4,,遊戲實況
PLcCTPbs8iOoH1ahNj6LqkKLAMxLwwzwSS,BroForce 武裝兄弟連,4,,遊戲實況
PLcCTPbs8iOoEklKwxRT9P3PQNUJyjzSw6,2015 KeSPA Cup Season1,4,,電競賽事
PLcCTPbs8iOoFXWzwO1tnyTUT6nKGbGKvT,《Starcraft2 SPL2015》 Round 3,4,,電競賽事
PLcCTPbs8iOoHTwlDCS3GacsZepqB4QLZT,2015 台港澳WCS 第一季,4,,電競賽事
PLcCTPbs8iOoEQ0xQavCb9VxHFpkuHriKG,【第九人稱】,3,第九人稱,人物/訪談
PLcCTPbs8iOoFwwOTSWVi3hax9FytJqCkx,加密貨幣三部曲,3,加密貨幣三部曲,財經/投資
PLcCTPbs8iOoEDC2rcBDfn5ol_Yzjw7m86,TWOP精華,3,,電競賽事
PLe6vq5arbWUU,《公車食刻表》,2,,美食
PLcCTPbs8iOoFyICSv0bRCDcycsFyjy9Tw,《Joe是要跟團》,2,,旅遊/航空
PLcCTPbs8iOoHtCMGG7b7AGKF9k81qtTew,【九讀】,2,九讀,人物/訪談
PLcCTPbs8iOoGv99TMKre0KtRwhgysknvs,《Joeman玩什麼》,2,,遊戲實況
PLcCTPbs8iOoH3J_0h6FwcEtnOtfAZFTbx,《佛萊迪的午夜驚魂4》,2,,遊戲實況
PLcCTPbs8iOoHIpXL-dZC8DhVOOExdlIFi,2015 SPL 精華,2,,電競賽事
PLcCTPbs8iOoH0WfARatH2kq-iRe0nwAI5,《GTA5俠盜獵車手 小劇場》,2,,遊戲實況
PLcCTPbs8iOoEIpDXgXOuuOycmMp9oCcda,美食精華版,1,帶你去吃各地美食,美食
PLcCTPbs8iOoGn92ksv1xYZFh8C3_cgQxk,《超激!遊戲名模主播生死鬥》,1,,遊戲實況
